Plane 5 56
ScaleStick 61 1
Outcrop 62 1
UnityTexture 63 6
end_header
3 TAG 3 110.2195 116.9617 1.626937 110.6202 116.9641 0.2306198 110.1686 116.2421 1.407069 c0926e63-88c0-af5c-b822-406a1eef1f4d
3 TAG 3 110.7231 117.1499 -1.866378 110.6525 116.9654 -2.301288 110.6896 116.0943 -1.277735 38014afb-f175-53ca-0fd1-937d2fd4e602
3 TAG 3 110.8264 116.4097 -1.318305 110.5284 116.3538 -1.981618 110.528 115.6641 -0.9821126 718f94bf-7ea0-f5b8-1bd6-22a4b2a1451c
3 TAG 3 110.0889 114.8197 -5.452146 109.7582 116.2598 -4.997166 109.1568 116.2702 -4.756393 c6097811-ef5c-56e5-7de8-c44dbf2304e5
3 TAG 3 108.4924 116.3587 -4.249084 107.7745 116.2546 -3.854632 108.5189 115.4579 -4.186828 2c4851b4-5eb6-2dfb-63f3-2da33cc593be
3 TAG 3 106.504 116.2614 -3.025653 104.5107 116.1998 -1.622276 105.6614 115.5263 -2.535206 3d2603cb-6625-b9c6-30be-a0b69daab610
3 TAG 3 110.2751 115.1637 0.8874611 110.1673 115.1289 0.2217872 110.3656 114.9625 0.4424037 5568e7d1-934b-6267-92cb-4e8f64b04f6a
3 TAG 3 109.9896 115.331 -0.4847217 110.2895 115.4336 -1.895127 110.3306 115.2137 -2.040845 87c56451-0242-c71b-3c5e-e54f81e6a67d
3 TAG 3 110.9726 115.5706 -5.789177 111.4957 115.5879 -5.311147 111.2328 115.3275 -5.583044 ae7aa109-f8ee-263a-04ef-82dab8eec8df
3 TAG 3 110.019 115.401 -5.283099 109.2486 115.4538 -4.920468 109.3073 114.6434 -5.15752 98aeaf22-ff52-8a84-725a-f46c5471abb1
3 TAG 3 104.301 114.7689 -2.161617 105.6159 114.762 -3.052708 105.0092 114.2393 -2.760038 5d2a2ce8-55b2-6740-9dba-2a9e6347aca2
3 TAG 3 106.9646 114.8213 -4.222517 107.691 114.9559 -4.243534 107.2969 114.3915 -4.280515 25e535ee-de02-5906-5f1b-a364284aaa5f
3 TAG 3 109.7395 114.7965 -2.184761 110.434 114.858 -3.187091 110.2909 114.467 -2.647048 5153d692-884d-c12e-b4b9-8400ace4088e
3 TAG 3 111.7625 116.9619 -3.687631 111.4062 116.8907 -3.356187 112.0302 116.5205 -3.413714 8a222d3f-5178-4aad-ecd1-5e4ce25ca368
